iter	Passed	Remaining
648	12886	6969
649	12904	6948
650	12922	6927
651	12941	6907
652	12958	6885
653	12976	6865
654	12995	6844
655	13013	6824
656	13030	6802
657	13049	6782
658	13068	6762
659	13086	6741
660	13104	6720
661	13121	6699
662	13139	6678
663	13158	6658
664	13176	6637
665	13197	6618
666	13218	6599
667	13235	6578
668	13253	6557
669	13272	6537
670	13290	6516
671	13309	6496
672	13327	6475
673	13345	6454
674	13365	6435
675	13384	6414
676	13402	6394
677	13422	6374
678	13440	6353
679	13458	6333
680	13476	6312
681	13495	6292
682	13513	6271
683	13531	6251
684	13549	6230
685	13567	6210
686	13585	6189
687	13603	6169
688	13622	6148
689	13639	6128
690	13658	6107
691	13677	6087
692	13696	6067
693	13713	6046
694	13731	6026
695	13748	6005
696	13766	5984
697	13806	5973
698	13842	5960
699	13863	5941
700	13883	5921
701	13902	5901
702	13919	5880
703	13936	5859
704	13955	5839
705	13973	5818
706	13990	5797
707	14009	5777
708	14027	5757
709	14047	5737
710	14064	5716
711	14082	5696
712	14100	5675
713	14119	5655
714	14136	5634
715	14154	5614
716	14172	5593
717	14190	5573
718	14208	5552
719	14227	5532
720	14246	5512
721	14264	5492
722	14283	5472
723	14302	5452
724	14320	5431
725	14339	5411
726	14356	5391
727	14374	5370
728	14391	5350
729	14410	5329
730	14427	5309
731	14444	5288
732	14463	5268
733	14482	5248
734	14511	5232
735	14528	5211
736	14547	5191
737	14565	5170
738	14582	5150
739	14600	5129
740	14619	5109
741	14637	5089
742	14656	5069
743	14675	5049
744	14693	5029
745	14711	5009
746	14729	4988
747	14746	4968
748	14763	4947
749	14781	4927
750	14799	4906
751	14817	4886
752	14835	4866
753	14852	4845
754	14870	4825
755	14893	4806
756	14910	4786
757	14931	4766
758	14948	4746
759	14966	4726
760	14984	4705
761	15002	4685
762	15020	4665
763	15037	4645
764	15054	4624
765	15073	4604
766	15092	4584
767	15115	4566
768	15138	4547
769	15158	4527
770	15178	4508
771	15198	4488
772	15216	4468
773	15235	4448
774	15252	4428
775	15270	4407
776	15288	4387
777	15307	4367
778	15327	4348
779	15346	4328
780	15365	4308
781	15383	4288
782	15400	4268
783	15419	4248
784	15437	4228
785	15456	4208
786	15474	4188
787	15493	4168
788	15511	4148
789	15530	4128
790	15551	4109
791	15569	4088
792	15587	4068
793	15605	4048
794	15622	4028
795	15641	4008
796	15660	3988
797	15677	3968
798	15695	3948
799	15713	3928
800	15730	3907
801	15748	3887
802	15769	3868
803	15787	3848
804	15806	3828
805	15823	3808
806	15842	3788
807	15859	3768
808	15878	3748
809	15896	3728
810	15916	3709
811	15933	3689
812	15952	3669
813	15970	3649
814	15989	3629
815	16007	3609
816	16025	3589
817	16043	3569
818	16062	3549
819	16081	3530
820	16100	3510
821	16117	3490
822	16135	3470
823	16152	3450
824	16172	3430
825	16191	3410
826	16208	3390
827	16227	3370
828	16246	3351
829	16264	3331
830	16281	3311
831	16301	3291
832	16319	3271
833	16339	3252
834	16356	3232
835	16375	3212
836	16394	3192
837	16422	3174
838	16441	3155
839	16460	3135
840	16479	3115
841	16498	3095
842	16517	3076
843	16536	3056
844	16554	3036
845	16572	3016
846	16590	2996
847	16611	2977
848	16630	2957
849	16648	2938
850	16666	2918
851	16683	2898
852	16701	2878
853	16719	2858
854	16736	2838
855	16754	2818
856	16773	2798
857	16791	2778
858	16810	2759
859	16830	2739
860	16849	2720
861	16869	2700
862	16887	2680
863	16906	2661
864	16925	2641
865	16943	2621
866	16960	2601
867	16978	2581
